timestamp,config_idx,number_of_si_scales,ti_kernel_size,di_prob,di_pad_amount,mu,final_score
2026-04-13 10:01:05,3,10,5,0.7,40,1.0,95.125
2026-04-13 10:29:20,4,10,5,0.7,40,1.1,95.125
2026-04-13 10:57:36,5,10,5,0.8,31,1.0,95.425
2026-04-13 11:25:53,6,10,5,0.8,31,1.1,94.825
2026-04-13 11:54:08,7,10,5,0.8,40,1.0,95.275
2026-04-13 21:31:06,4,10,5,0.8,40,1.1,95.65
2026-04-13 21:37:22,5,10,5,0.9,31,1.0,95.875
2026-04-13 21:43:38,6,10,5,0.9,31,1.1,95.125
2026-04-13 21:49:54,7,10,5,0.9,40,1.0,95.425
2026-04-13 21:56:10,8,10,5,0.9,40,1.1,95.2
2026-04-13 22:02:26,9,10,7,0.8,31,1.0,95.275
2026-04-13 22:08:42,10,10,7,0.8,31,1.1,94.3
2026-04-13 22:14:58,11,10,7,0.8,40,1.0,94.825
2026-04-13 22:21:15,12,10,7,0.8,40,1.1,94.3
2026-04-13 22:27:31,13,10,7,0.9,31,1.0,94.6
2026-04-13 22:33:47,14,10,7,0.9,31,1.1,94.15
2026-04-13 22:40:03,15,10,7,0.9,40,1.0,94.825
2026-04-13 22:46:19,16,10,7,0.9,40,1.1,95.2
